epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,4704.1,0.9233,0.87469,1.27905,0.87205,0.93367,0.96339,0.72756,0.93312,0.60792,1.27183,0.000616049,0.000616049,0.000616049
137,4737.37,0.93246,0.8719,1.28636,0.89637,0.90047,0.95096,0.72576,0.90811,0.61428,1.24408,0.000612383,0.000612383,0.000612383
138,4771.19,0.909,0.87462,1.27174,0.92604,0.90358,0.96089,0.69307,1.04083,0.63148,1.34553,0.000608717,0.000608717,0.000608717
139,4804.66,0.92681,0.85076,1.27878,0.91559,0.92497,0.96404,0.73633,0.91476,0.55492,1.22259,0.000605051,0.000605051,0.000605051
140,4841.62,0.90882,0.83309,1.26204,0.92087,0.93272,0.97386,0.74286,0.9098,0.56973,1.2392,0.000601384,0.000601384,0.000601384
141,4878.5,0.94255,0.87643,1.29573,0.91952,0.95411,0.97688,0.74675,0.91444,0.52528,1.23551,0.000597718,0.000597718,0.000597718
142,4915.62,0.91574,0.85679,1.27358,0.8903,0.92331,0.96201,0.71858,0.94309,0.59437,1.26156,0.000594052,0.000594052,0.000594052
143,4949.3,0.90147,0.80419,1.24569,0.9226,0.94907,0.97031,0.74365,0.90177,0.52904,1.2375,0.000590385,0.000590385,0.000590385
144,4983.02,0.88047,0.8434,1.24716,0.89757,0.93867,0.96627,0.7127,0.96343,0.58257,1.27571,0.000586719,0.000586719,0.000586719
145,5016.22,0.88552,0.8408,1.25437,0.92047,0.95256,0.97741,0.73465,0.94305,0.53778,1.26586,0.000583053,0.000583053,0.000583053
146,5049.52,0.8621,0.80119,1.23981,0.86773,0.90599,0.94366,0.70176,0.94655,0.64348,1.27721,0.000579386,0.000579386,0.000579386
147,5082.82,0.85387,0.82622,1.22309,0.94235,0.97441,0.97342,0.74647,0.90669,0.49635,1.24218,0.00057572,0.00057572,0.00057572
148,5116.3,0.88623,0.80723,1.25878,0.94996,0.95439,0.9753,0.73197,0.94755,0.5172,1.27337,0.000572054,0.000572054,0.000572054
149,5149.88,0.8535,0.83327,1.2261,0.92408,0.94518,0.97365,0.75462,0.8958,0.52355,1.21978,0.000568388,0.000568388,0.000568388
150,5187.23,0.86683,0.83594,1.23166,0.93574,0.96634,0.97629,0.74336,0.89871,0.52735,1.2194,0.000564721,0.000564721,0.000564721
151,5220.84,0.85536,0.80429,1.22699,0.92071,0.95995,0.97096,0.76225,0.85253,0.50732,1.2143,0.000561055,0.000561055,0.000561055
152,5258.04,0.83854,0.83229,1.22969,0.94758,0.97084,0.97968,0.73584,0.93755,0.5185,1.28394,0.000557389,0.000557389,0.000557389
153,5291.83,0.84206,0.78757,1.22424,0.93652,0.95758,0.97792,0.73359,0.91805,0.49902,1.25069,0.000553722,0.000553722,0.000553722
154,5325.38,0.82382,0.81652,1.20549,0.92812,0.94666,0.97142,0.73313,0.91193,0.52393,1.24522,0.000550056,0.000550056,0.000550056
155,5358.72,0.83323,0.81254,1.22503,0.90196,0.9523,0.96964,0.75079,0.85837,0.52478,1.21142,0.00054639,0.00054639,0.00054639
156,5392.18,0.84068,0.78665,1.21613,0.9366,0.9602,0.97827,0.75267,0.89829,0.50308,1.23306,0.000542723,0.000542723,0.000542723
157,5425.71,0.82809,0.78785,1.22078,0.93648,0.97288,0.97821,0.7151,0.97073,0.5224,1.30074,0.000539057,0.000539057,0.000539057
158,5458.91,0.82155,0.76505,1.19745,0.91935,0.95804,0.97045,0.74136,0.87969,0.51005,1.21479,0.000535391,0.000535391,0.000535391
159,5492.41,0.82167,0.78034,1.21902,0.9127,0.96771,0.97853,0.75514,0.87502,0.50515,1.21839,0.000531725,0.000531725,0.000531725
160,5525.78,0.81994,0.78244,1.21354,0.9172,0.97016,0.97677,0.76519,0.83507,0.48888,1.18575,0.000528058,0.000528058,0.000528058
161,5562.7,0.84543,0.80581,1.22035,0.91453,0.94306,0.97168,0.7652,0.83333,0.50956,1.17452,0.000524392,0.000524392,0.000524392
162,5596.16,0.84586,0.8377,1.21357,0.88343,0.94829,0.9713,0.73651,0.89393,0.57782,1.23208,0.000520726,0.000520726,0.000520726
163,5628.9,0.85783,0.84098,1.23844,0.93905,0.95859,0.98019,0.74569,0.88535,0.49239,1.21492,0.000517059,0.000517059,0.000517059
164,5662.24,0.84322,0.78708,1.23125,0.92154,0.94668,0.97719,0.74887,0.89606,0.51774,1.22773,0.000513393,0.000513393,0.000513393
165,5695.65,0.82105,0.79287,1.20922,0.93399,0.94622,0.98086,0.72757,0.96693,0.53066,1.29657,0.000509727,0.000509727,0.000509727
166,5729.16,0.83265,0.79952,1.21631,0.90495,0.96465,0.97029,0.7466,0.86299,0.52658,1.21364,0.00050606,0.00050606,0.00050606
167,5762.04,0.81977,0.78656,1.19529,0.90874,0.94867,0.97327,0.74846,0.86119,0.53128,1.21349,0.000502394,0.000502394,0.000502394
168,5795.27,0.78015,0.73822,1.17505,0.95353,0.97821,0.98211,0.76947,0.84952,0.46174,1.20385,0.000498728,0.000498728,0.000498728
169,5832.21,0.81772,0.78298,1.20027,0.93965,0.97315,0.97976,0.75941,0.85685,0.4763,1.21524,0.000495062,0.000495062,0.000495062
170,5865.81,0.81059,0.79836,1.19626,0.93843,0.95395,0.97689,0.7512,0.85412,0.49879,1.19605,0.000491395,0.000491395,0.000491395
171,5898.89,0.75502,0.7332,1.16164,0.94822,0.97719,0.98035,0.76392,0.83705,0.46602,1.18779,0.000487729,0.000487729,0.000487729
172,5932.19,0.78219,0.77941,1.18371,0.94635,0.98966,0.98511,0.7728,0.84961,0.46659,1.19646,0.000484063,0.000484063,0.000484063
173,5969.96,0.78999,0.76878,1.17414,0.87218,0.93948,0.97185,0.75954,0.8307,0.54463,1.18828,0.000480396,0.000480396,0.000480396
174,6003.27,0.78001,0.75218,1.18585,0.94881,0.96448,0.97944,0.76927,0.81611,0.4626,1.16981,0.00047673,0.00047673,0.00047673
175,6036.73,0.74649,0.72587,1.15921,0.96437,0.98326,0.98373,0.76764,0.83323,0.4516,1.18903,0.000473064,0.000473064,0.000473064
176,6069.82,0.79074,0.74957,1.17953,0.95943,0.98421,0.9867,0.76637,0.85332,0.45814,1.20535,0.000469397,0.000469397,0.000469397
177,6103.44,0.76287,0.71104,1.16474,0.95892,0.98092,0.98811,0.7764,0.8293,0.45438,1.16839,0.000465731,0.000465731,0.000465731
178,6140.42,0.75916,0.74159,1.15977,0.95096,0.98541,0.98734,0.76282,0.85307,0.45015,1.2031,0.000462065,0.000462065,0.000462065
179,6174.45,0.76006,0.74388,1.16156,0.93563,0.97894,0.98102,0.75236,0.89442,0.47549,1.24416,0.000458399,0.000458399,0.000458399
180,6207.77,0.74334,0.70144,1.15866,0.9438,0.96494,0.97978,0.77322,0.8133,0.4644,1.18572,0.000454732,0.000454732,0.000454732
181,6241.21,0.74396,0.72248,1.16676,0.96268,0.96582,0.98457,0.77534,0.80974,0.44095,1.1851,0.000451066,0.000451066,0.000451066
